epoch,train_loss,val_loss,lai_train,lai_val,yield_train,yield_val,state_loss,canopy_loss,anom_loss,HI,yield_scale,yield_year_trend,RUE,k_ext,D0,GDD_flowering,GDD_maturity,FC,WP,epoch_seconds,gpu_peak_gb
1,1.172672708829244,0.5945738554000854,0.4037964542706807,0.3761439323425293,0.30267301201820374,0.24429911375045776,0.5895185073216757,0.12721441065271696,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.8012824058532715,0.8543148040771484,1.8989074230194092,849.9984130859375,1673.45361328125,0.3955080509185791,0.18409304320812225,7.633418130688369,0.05636262893676758
2,0.7844103574752808,0.5945738554000854,0.4097306529680888,0.3761439323425293,0.2191940595706304,0.24429911375045776,0.33181487520535785,0.03454482555389404,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7932868003845215,0.8503007292747498,1.8995440006256104,849.9984130859375,1673.4537353515625,0.39037269353866577,0.1841750591993332,6.672319276258349,0.056395530700683594
3,0.6839512387911478,0.5945738554000854,0.43913593888282776,0.3761439323425293,0.11470148215691249,0.24429911375045776,0.11300456399718921,0.01995460658023755,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7864184379577637,0.8464112281799316,1.9003781080245972,849.9984130859375,1673.454345703125,0.3995586335659027,0.1861249804496765,6.597975397482514,0.056368350982666016
4,0.6879749894142151,0.5945738554000854,0.44173285365104675,0.3761439323425293,0.10687742133935292,0.24429911375045776,0.1117268701394399,0.020224311699469883,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.781052589416504,0.8450202345848083,1.9014008045196533,849.9984130859375,1673.455078125,0.39676231145858765,0.18514642119407654,6.51348534040153,0.056368350982666016
5,0.6626218954722086,0.5866187214851379,0.43535056710243225,0.4126611649990082,0.1238212635119756,0.09423545747995377,0.09920457657426596,0.01694979580740134,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.774958610534668,0.8417678475379944,1.9023759365081787,849.9984130859375,1673.455810546875,0.3955080509185791,0.18409304320812225,7.47412271425128,0.056368350982666016
6,0.6695576906204224,0.5866187214851379,0.4198560019334157,0.4126611649990082,0.17511839667956033,0.09423545747995377,0.18487531691789627,0.011976741254329681,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7694733142852783,0.8396546840667725,1.9033634662628174,849.9984130859375,1673.45654296875,0.39680489897727966,0.18539676070213318,6.515997419133782,0.056783199310302734
7,0.6626729567845663,0.5866187214851379,0.4050269325574239,0.4126611649990082,0.2250007043282191,0.09423545747995377,0.2337929606437683,0.008194367866963148,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7624802589416504,0.8350427746772766,1.9040666818618774,849.9984130859375,1673.45703125,0.3976748287677765,0.18595407903194427,6.659706108272076,0.056368350982666016
8,0.6477715969085693,0.5866187214851379,0.42168887456258136,0.4126611649990082,0.16910260419050852,0.09423545747995377,0.13908394674460092,0.01162269338965416,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7547216415405273,0.8293448686599731,1.9046924114227295,849.9984130859375,1673.4573974609375,0.39454197883605957,0.18480251729488373,6.595914037898183,0.056368350982666016
9,0.6462397774060568,0.5866187214851379,0.4268503785133362,0.4126611649990082,0.14326673994461694,0.09423545747995377,0.11126800378163655,0.01327778430034717,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7475812435150146,0.8247039318084717,1.905453085899353,849.9984130859375,1673.4581298828125,0.39462774991989136,0.1849169284105301,6.497933157719672,0.056368350982666016
10,0.6276764869689941,0.5459879636764526,0.42081669966379803,0.39464980363845825,0.16882499059041342,0.153518408536911,0.10668923767904441,0.010741733014583588,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.740351915359497,0.8199220895767212,1.9062455892562866,849.9984130859375,1673.4588623046875,0.3955080509185791,0.18409304320812225,7.451418506912887,0.056368350982666016
11,0.6233865221341451,0.5459879636764526,0.41505545377731323,0.39464980363845825,0.18460010488828024,0.153518408536911,0.12181269874175389,0.009327083049962917,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.732907772064209,0.8146873712539673,1.907023549079895,849.9984130859375,1673.4595947265625,0.39668864011764526,0.18516671657562256,6.52730399928987,0.056783199310302734
12,0.6169894337654114,0.5459879636764526,0.4073543945948283,0.39464980363845825,0.22045030196507773,0.153518408536911,0.139609028895696,0.00765471284588178,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7247815132141113,0.8085691928863525,1.90775465965271,849.9984130859375,1673.4603271484375,0.393400102853775,0.18355821073055267,6.4955054903402925,0.056368350982666016
13,0.6154821713765463,0.5459879636764526,0.409886767466863,0.39464980363845825,0.20650495092074075,0.153518408536911,0.12466892848412196,0.00846916064620018,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.715954303741455,0.8014311790466309,1.9084590673446655,849.9984130859375,1673.4610595703125,0.39570173621177673,0.18563000857830048,6.705367165617645,0.056368350982666016
14,0.6032947699228922,0.5459879636764526,0.4119425018628438,0.39464980363845825,0.1921248883008957,0.153518408536911,0.093697855869929,0.008627778695275387,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7073957920074463,0.7947120666503906,1.9092100858688354,849.9984130859375,1673.4617919921875,0.3956422805786133,0.1841648668050766,6.511217253282666,0.056368350982666016
15,0.5914501150449117,0.49326005578041077,0.4005575974782308,0.36452344059944153,0.22380403677622476,0.26427122950553894,0.11109474052985509,0.006792731893559297,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.699366807937622,0.7884355187416077,1.909919261932373,849.9984130859375,1673.462646484375,0.3955080509185791,0.18409304320812225,7.285040841437876,0.056368350982666016
16,0.5858742396036783,0.49326005578041077,0.3845868209997813,0.36452344059944153,0.29211074113845825,0.26427122950553894,0.1532759169737498,0.004772643093019724,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.6911842823028564,0.7815913558006287,1.9104993343353271,849.9984130859375,1673.46337890625,0.3978903591632843,0.18553034961223602,6.684713118709624,0.056783199310302734
17,0.5785199006398519,0.49326005578041077,0.3772672911485036,0.36452344059944153,0.3091132541497548,0.26427122950553894,0.16054829955101013,0.004166619929795464,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.682227611541748,0.7737520337104797,1.9109865427017212,849.9984130859375,1673.464111328125,0.39735734462738037,0.1864435076713562,6.498042402788997,0.056368350982666016
18,0.5760446985562643,0.49326005578041077,0.3793727556864421,0.36452344059944153,0.29881131649017334,0.26427122950553894,0.14808463056882223,0.00457414115468661,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.672562599182129,0.7647960782051086,1.9113490581512451,849.9984130859375,1673.46484375,0.39344334602355957,0.18486708402633667,6.559312698431313,0.056368350982666016
19,0.5748127897580465,0.49326005578041077,0.3975235919157664,0.36452344059944153,0.21317207316557565,0.26427122950553894,0.08350097869212429,0.007167272424946229,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.663738489151001,0.7567965388298035,1.9117722511291504,849.9984130859375,1673.4656982421875,0.39298388361930847,0.1831413358449936,6.633806047029793,0.056368350982666016
20,0.5667189955711365,0.4590195417404175,0.38811338941256207,0.34078583121299744,0.24375448624293009,0.33191126585006714,0.09849084417025249,0.005958634971951445,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.6559715270996094,0.7502226233482361,1.9124089479446411,849.9984130859375,1673.466796875,0.3955080509185791,0.18409304320812225,7.282574757933617,0.056368350982666016
21,0.6223459641138712,0.4590195417404175,0.346212774515152,0.34078583121299744,0.3866439660390218,0.33191126585006714,0.23208164920409521,0.0025532523480554423,0.0016727692369992535,0.557978630065918,1.1389670372009277,0.03823515400290489,2.647320032119751,0.7419723868370056,1.912618637084961,849.9999389648438,1673.4676513671875,0.4017733633518219,0.18691128492355347,6.543232695199549,0.07816791534423828
22,0.6152686874071757,0.4590195417404175,0.34473370512326557,0.34078583121299744,0.2785700857639313,0.33191126585006714,0.17576625446478525,0.002596126481269797,0.001949529629200697,0.5559571981430054,1.128131628036499,0.04134756699204445,2.6395671367645264,0.7339572310447693,1.9121133089065552,850.0020751953125,1673.4678955078125,0.39487794041633606,0.18430183827877045,6.6481824573129416,0.07808113098144531
23,0.5829862157503763,0.4590195417404175,0.3936129609743754,0.34078583121299744,0.0639399712284406,0.33191126585006714,0.0505493755141894,0.008403275782863298,0.0022888208429018655,0.5540105104446411,1.1179134845733643,0.04421195760369301,2.632430076599121,0.7266096472740173,1.9116672277450562,850.00439453125,1673.4681396484375,0.39021697640419006,0.1827952116727829,6.5688956547528505,0.07808113098144531
24,0.5882949630419413,0.4590195417404175,0.4011017878850301,0.34078583121299744,0.04209814469019572,0.33191126585006714,0.03319964651018381,0.010767339418331781,0.002578956773504615,0.5526131391525269,1.1107174158096313,0.04609692841768265,2.6271958351135254,0.721966564655304,1.911840796470642,850.0062255859375,1673.4691162109375,0.3931248188018799,0.1851702183485031,6.517743745818734,0.07808113098144531
25,0.5638375480969747,0.4762134552001953,0.3616131047407786,0.3224264681339264,0.05073282867670059,0.05851761996746063,0.09369004735102256,0.0052967114218821125,0.0027608799282461405,0.5513715744018555,1.1044471263885498,0.047648828476667404,2.62231707572937,0.7177367210388184,1.9122262001037598,850.0078735351562,1673.47021484375,0.3955080509185791,0.18409304320812225,7.4268790651112795,0.07808113098144531
26,0.5511969526608785,0.4762134552001953,0.3462548355261485,0.3224264681339264,0.048272223522265754,0.05851761996746063,0.10570896168549855,0.0037532953235010305,0.0029437709599733353,0.5497568845748901,1.0964295864105225,0.04962528124451637,2.616215705871582,0.7115829586982727,1.9123170375823975,850.010009765625,1673.470947265625,0.39532944560050964,0.1862742304801941,6.520113256759942,0.07817840576171875
27,0.546890914440155,0.4762134552001953,0.35365596413612366,0.3224264681339264,0.03765805438160896,0.05851761996746063,0.07910556470354398,0.004730431052545707,0.003183305806790789,0.5481484532356262,1.0885952711105347,0.051349937915802,2.6103222370147705,0.7059241533279419,1.9124492406845093,850.0120849609375,1673.4720458984375,0.3907429873943329,0.18372753262519836,6.541311101987958,0.07808160781860352
28,0.550484836101532,0.4762134552001953,0.32255900899569195,0.3224264681339264,0.05121752743919691,0.05851761996746063,0.13494045908252397,0.002717935790618261,0.0034683250511686006,0.5463734865188599,1.0800817012786865,0.053138505667448044,2.6045374870300293,0.700378954410553,1.9123272895812988,850.0142822265625,1673.472900390625,0.3905084431171417,0.18276704847812653,6.716039968654513,0.07808160781860352
29,0.5386872490247091,0.4762134552001953,0.32601768771807355,0.3224264681339264,0.042590624342362084,0.05851761996746063,0.10585511848330498,0.003177723071227471,0.003809649652491013,0.5443100929260254,1.0703210830688477,0.05512591078877449,2.598673105239868,0.6942421197891235,1.9118205308914185,850.0167236328125,1673.473388671875,0.3967832922935486,0.18540644645690918,6.522850572131574,0.07808160781860352
30,0.5496115883191427,0.461539089679718,0.3462444245815277,0.3028256893157959,0.038356286784013115,0.03511156514286995,0.06296145419279735,0.005482164366791646,0.004122418817132711,0.54308021068573,1.064598560333252,0.055906012654304504,2.5940632820129395,0.6901209354400635,1.911981225013733,850.0183715820312,1673.474365234375,0.3955080509185791,0.18409304320812225,7.302732776850462,0.07808160781860352
31,0.5207342306772867,0.461539089679718,0.31504881381988525,0.3028256893157959,0.0381054679552714,0.03511156514286995,0.08607462917764981,0.003037581375489632,0.004373849214365085,0.5420108437538147,1.0597225427627563,0.0562959723174572,2.589317560195923,0.6859708428382874,1.9122214317321777,850.0198364257812,1673.4754638671875,0.392389714717865,0.18381105363368988,6.66175243165344,0.07817888259887695
32,0.5227963725725809,0.461539089679718,0.3098747233549754,0.3028256893157959,0.037925224751234055,0.03511156514286995,0.09224992742141087,0.0030450509705891213,0.004663302718351285,0.5404666066169739,1.0527757406234741,0.057155899703502655,2.5844621658325195,0.681168258190155,1.912139654159546,850.0216064453125,1673.4764404296875,0.39137551188468933,0.183187335729599,6.578957177698612,0.07808160781860352
33,0.5173456370830536,0.461539089679718,0.31691355506579083,0.3028256893157959,0.03239489595095316,0.03511156514286995,0.06790181994438171,0.003735167750467857,0.004942966780314843,0.5394024848937988,1.048084020614624,0.057443056255578995,2.5805294513702393,0.67799973487854,1.912448525428772,850.0230102539062,1673.4775390625,0.3978365957736969,0.18603727221488953,6.529916289262474,0.07808160781860352
34,0.5272181431452433,0.461539089679718,0.287917564312617,0.3028256893157959,0.04324087003866831,0.03511156514286995,0.1193678875764211,0.0018222729753081997,0.005234426974008481,0.5378122925758362,1.0411148071289062,0.058294910937547684,2.5760912895202637,0.6740332245826721,1.912279725074768,850.0247802734375,1673.4783935546875,0.3911469876766205,0.1838994175195694,6.651448139920831,0.07808160781860352
35,0.5176045099894205,0.4499150216579437,0.3082208236058553,0.29816514253616333,0.0355834091703097,0.01887831650674343,0.058791684452444315,0.003466395583624641,0.005527803208678961,0.5362908840179443,1.0345187187194824,0.05899021774530411,2.5717415809631348,0.6700263619422913,1.912097454071045,850.0264282226562,1673.479248046875,0.3955080509185791,0.18409304320812225,7.342199162580073,0.07808160781860352
36,0.5101106266180674,0.4499150216579437,0.30666165550549823,0.29816514253616333,0.03271177659432093,0.01887831650674343,0.049543838016688824,0.003473909261325995,0.005772548572470744,0.5359381437301636,1.0330336093902588,0.05823112279176712,2.568690061569214,0.6681525111198425,1.9127272367477417,850.027099609375,1673.480712890625,0.3949972987174988,0.18487457931041718,6.517226826399565,0.07817888259887695
37,0.5718276898066202,0.4499150216579437,0.27453335126241046,0.29816514253616333,0.055718748519817986,0.01887831650674343,0.15072937806447348,0.0010369092924520373,0.006052796573688586,0.5344902276992798,1.026824712753296,0.05884614214301109,2.565814733505249,0.6660242676734924,1.9124191999435425,850.0286865234375,1673.4814453125,0.4003751873970032,0.18674702942371368,6.700251033529639,0.07808160781860352
38,0.5243777533372244,0.4499150216579437,0.2832424243291219,0.29816514253616333,0.03897367790341377,0.01887831650674343,0.09409900071720283,0.0019015180102239053,0.00627744539330403,0.5323317050933838,1.0176212787628174,0.060541391372680664,2.562943935394287,0.6633469462394714,1.9113661050796509,850.03076171875,1673.4815673828125,0.39701271057128906,0.186271533370018,6.517046940512955,0.07808160781860352
39,0.5288344025611877,0.4499150216579437,0.3037935396035512,0.29816514253616333,0.03832269335786501,0.01887831650674343,0.03383691608905792,0.00376547547057271,0.0064812929679950075,0.5315601825714111,1.0143678188323975,0.06054503098130226,2.561034679412842,0.6623708605766296,1.9113705158233643,850.0316772460938,1673.482421875,0.4010309875011444,0.1873903125524521,6.518596622161567,0.07808160781860352
40,0.5190334618091583,0.5730886459350586,0.2780313988526662,0.24999713897705078,0.03511970303952694,0.08599665015935898,0.09521194299062093,0.0016295505144322913,0.006678216780225436,0.5309781432151794,1.0119560956954956,0.06028124317526817,2.5594451427459717,0.661929726600647,1.9115030765533447,850.0324096679688,1673.4833984375,0.3955080509185791,0.18409304320812225,7.441356340423226,0.07808160781860352
41,0.5117412010828654,0.5730886459350586,0.275648574034373,0.24999713897705078,0.03394788006941477,0.08599665015935898,0.0844575675825278,0.0012547482814018924,0.006862698898961146,0.5294721126556396,1.005753755569458,0.06102990359067917,2.55735445022583,0.6601952314376831,1.9108840227127075,850.0338134765625,1673.4837646484375,0.400027334690094,0.18674549460411072,6.511584441177547,0.07817888259887695
42,0.5690763195355734,0.5730886459350586,0.3041062553723653,0.24999713897705078,0.047613076865673065,0.08599665015935898,0.025304860745867092,0.003854301447669665,0.006996357037375371,0.529265284538269,1.0049289464950562,0.06036796048283577,2.555720806121826,0.6594140529632568,1.9111875295639038,850.0341796875,1673.48486328125,0.3929462432861328,0.185002401471138,6.5811633644625545,0.07808160781860352
43,0.5180304646492004,0.5730886459350586,0.28833016753196716,0.24999713897705078,0.033511182914177574,0.08599665015935898,0.0416113194078207,0.002704289295555403,0.007127418182790279,0.5301894545555115,1.0087906122207642,0.058491289615631104,2.554758071899414,0.6599065661430359,1.9122910499572754,850.0335693359375,1673.4864501953125,0.39353397488594055,0.18406713008880615,6.655740776099265,0.07808160781860352
44,0.5105127195517222,0.5730886459350586,0.2732028166453044,0.24999713897705078,0.03266132374604543,0.08599665015935898,0.0677532230814298,0.0012920838004599016,0.007254626446714004,0.5302520990371704,1.009097695350647,0.057516492903232574,2.553081512451172,0.6589632034301758,1.912765383720398,850.0336303710938,1673.487548828125,0.3858998715877533,0.18169787526130676,6.560015940107405,0.07808160781860352
45,0.4954609274864197,0.4822913110256195,0.2838977773984273,0.25494879484176636,0.027094361061851185,0.03914926201105118,0.034674915174643196,0.0021950233494862914,0.007350541806469361,0.53020840883255,1.0089797973632812,0.0566517636179924,2.55138897895813,0.6584453582763672,1.9131953716278076,850.0337524414062,1673.488525390625,0.3955080509185791,0.18409304320812225,7.3050332656130195,0.07808160781860352
46,0.5474758446216583,0.4822913110256195,0.27361855904261273,0.25494879484176636,0.0403716042637825,0.03914926201105118,0.06922366780539353,0.001169265965775897,0.007521829567849636,0.5298147797584534,1.00740385055542,0.056112002581357956,2.5500826835632324,0.6584238409996033,1.9133700132369995,850.0341186523438,1673.4892578125,0.3962319791316986,0.1850498765707016,6.633907608687878,0.07817888259887695
47,0.5217525362968445,0.4822913110256195,0.27470927437146503,0.25494879484176636,0.03327018270889918,0.03914926201105118,0.05457366009553274,0.001178695703856647,0.007630033573756616,0.5282950401306152,1.0011544227600098,0.05699533969163895,2.5477170944213867,0.6569519639015198,1.9127249717712402,850.0353393554688,1673.4893798828125,0.3973570466041565,0.18582496047019958,6.572926122695208,0.07808160781860352
48,0.5062296986579895,0.4822913110256195,0.2833398679892222,0.25494879484176636,0.02873258851468563,0.03914926201105118,0.020680516803016264,0.002249213789279262,0.007743184299518664,0.5275185108184814,0.9980162978172302,0.05704304948449135,2.5449039936065674,0.6562352180480957,1.912617564201355,850.0359497070312,1673.489990234375,0.3930262327194214,0.1842232495546341,6.524226794950664,0.07808160781860352
49,0.48840487003326416,0.4822913110256195,0.2717001140117645,0.25494879484176636,0.025417978564898174,0.03914926201105118,0.03571284003555775,0.0012601549387909472,0.007892940193414688,0.5268350839614868,0.9952965378761292,0.05695539712905884,2.541513442993164,0.6550564765930176,1.9125890731811523,850.0364379882812,1673.490478515625,0.3876142203807831,0.18263599276542664,6.676135405898094,0.07808160781860352
50,0.4960925380388896,0.5195428133010864,0.2773711482683818,0.250124990940094,0.026073774322867393,0.043762270361185074,0.020757142454385757,0.0019304379432772596,0.007934014312922955,0.5265635251998901,0.9942612648010254,0.05637500435113907,2.5386595726013184,0.6546759605407715,1.912841796875,850.03662109375,1673.4912109375,0.3955080509185791,0.18409304320812225,7.294746889732778,0.07808160781860352
